"";"REFSEQ_MRNA";"logFC"
"ILMN_2169761";"NM_153634";1,30972046419128
"ILMN_1795454";"NM_007007";0,588400036056154
"ILMN_1791754";"NM_152246";-0,430847924842484
"ILMN_2229170";"NM_004270";0,34908751836466
"ILMN_1665797";"NM_001316";1,1154853388395
"ILMN_1652024";"NM_001031812";1,10674917763983
"ILMN_2332267";"NM_001044722";0,809816659836054
"ILMN_2393994";"NM_024790";0,877643706716041
"ILMN_1806951";"NM_001033506";-0,288505059764194
"ILMN_1806463";"NM_178561";0,568901141894554
"ILMN_2144574";"NM_004388";-0,302405418547874
"ILMN_1728163";"NM_021198";-0,424504297949907
"ILMN_1665164";"NM_014633";0,50006328656088
"ILMN_2120917";"NM_014633";0,615794924093937
"ILMN_1669252";"NM_003591";0,690050228702816
"ILMN_1674128";"NM_020943";0,657986427966287
"ILMN_2064655";"NM_178124";-0,311132800967542
"ILMN_2143261";"NM_001013845";-0,219635960060264
"ILMN_1771179";"NM_001915";-0,4267576842864
"ILMN_1744604";"NM_000101";-0,356385198517394
"ILMN_2391333";"NM_177538";0,155947239670922
"ILMN_1772627";"NM_001040101";-0,952392932423522
"ILMN_1658885";"NM_139179";-0,517294122026579
"ILMN_1678619";"NM_015533";-0,372934327590069
"ILMN_1792710";"NM_001348";0,193029761609665
"ILMN_1811648";"NM_024819";-0,384939415874094
"ILMN_1727001";"NM_014829";1,20562493701759
"ILMN_2041161";"NM_005848";0,603777485390027
"ILMN_3236211";"NR_024157";-0,265233171178685
"ILMN_2221808";"NR_002733";-0,770294506305573
"ILMN_2405642";"NM_024887";-0,300316533712648
"ILMN_1664369";"NM_018706";-0,596640169881723
"ILMN_2248589";"NM_024612";0,433514052758575
"ILMN_2310589";"NM_138930";-0,153717991207845
"ILMN_2275533";"NM_001042517";0,611311017813713
"ILMN_1874530";"NM_001042517";0,795370913862276
"ILMN_1772692";"NM_030621";1,04384747333613
"ILMN_1815673";"NM_015881";-0,994849593443705
"ILMN_1706583";"NM_001931";0,392496655626847
"ILMN_1664577";"NM_000108";0,774026575890694
"ILMN_3239771";"NM_014750";0,846609916134293
"ILMN_1773885";"NM_001034023";-0,390483528549459
"ILMN_2328813";"NM_001034024";-0,330523534351709
"ILMN_1750075";"NM_021145";0,755952676545906
"ILMN_1752281";"NM_015268";0,959314498042231
"ILMN_1785177";"NM_032364";-0,308482946294137
"ILMN_1688730";"NM_152686";-0,599553767071104
"ILMN_1771824";"NM_032317";-0,575741303450014
