"";"REFSEQ_MRNA";"logFC"
"ILMN_2111187";"NM_024090";0,995023154653447
"ILMN_1700546";"NM_024090";0,85472999392218
"ILMN_1772644";"NM_153265";-0,458223693502248
"ILMN_1711878";"NM_021204";0,336713409586769
"ILMN_1760779";"NM_207043";-0,366928211156365
"ILMN_1673023";"NM_015409";-0,381290630399218
"ILMN_1716507";"NM_012156";-0,591123096087235
"ILMN_1671686";"NM_001978";-0,454674386922298
"ILMN_1741346";"NM_004443";-0,468976579343583
"ILMN_1709237";"NM_001979";-1,16588790777273
"ILMN_1815519";"NM_014964";-0,491223426653618
"ILMN_2104696";"NM_207332";0,238945613745072
"ILMN_1744963";"NM_014584";1,7637912997205
"ILMN_1665510";"NM_018948";1,11586245539006
"ILMN_1758034";"NM_004453";-0,365627001428896
"ILMN_1753830";"NM_001986";1,73348725863239
"ILMN_2341661";"NM_001986";1,42626809748616
"ILMN_1739222";"NM_004454";2,5019336846978
"ILMN_1673721";"NM_006027";0,498434294293579
"ILMN_2394750";"NM_001037126";-0,411747711076997
"ILMN_1708936";"NM_016042";0,510047128114685
"ILMN_1734194";"NM_016042";0,373679706324149
"ILMN_2055477";"NM_015004";-0,617340135082172
"ILMN_1756162";"NM_181503";0,860214864398702
"ILMN_2312719";"NM_001034194";0,731086236790953
"ILMN_1721713";"NM_001034194";0,679663604285459
"ILMN_2388425";"NM_001033025";0,641445371813027
"ILMN_1797950";"NM_001439";0,546099553443256
"ILMN_1778226";"NM_001440";-0,334307904540082
"ILMN_2322996";"NM_172112";-0,710884377478004
"ILMN_2342033";"NM_144504";-0,515750626377212
"ILMN_2129572";"NM_001993";1,63064273557639
"ILMN_1797009";"NM_001993";1,41609950775241
"ILMN_1679158";"NM_174912";-0,941022914731586
"ILMN_1775498";"NM_182565";0,534219368774028
"ILMN_1745112";"NM_001035254";-0,733153994019354
"ILMN_2401779";"NM_001035254";-0,920860723484416
"ILMN_2374362";"NM_016014";-0,565873481293391
"ILMN_1660440";"NM_016014";-0,687328033732272
"ILMN_2323944";"NM_001042353";-0,39331306072434
"ILMN_3250243";"NM_145280";0,319090669829255
"ILMN_1762888";"NM_145280";0,821882071953437
"ILMN_1810725";"NM_052966";-0,362764935589357
"ILMN_1803647";"NM_014367";-0,324674925863816
"ILMN_1677122";"NM_001009993";0,214610987245305
"ILMN_3194638";"NM_001135032";1,00234688415738
"ILMN_3271098";"NM_001135032";1,02745659090627
"ILMN_1811373";"NM_014864";0,496445266325264
"ILMN_2368773";"NM_001040020";1,53267148434167
"ILMN_1706015";"NM_153690";-0,691393718771128
"ILMN_1808011";"NM_052943";-1,2219039050433
"ILMN_1725130";"NM_004699";-0,452992843926179
"ILMN_2053490";"NM_014661";-0,275450519260362
"ILMN_1704571";"NM_014661";-0,499380014415111
"ILMN_1755721";"NM_018379";-0,352519907956866
"ILMN_1774259";"NM_001040450";0,652623154178841
"ILMN_1757440";"XM_001130258";-0,506192141252418
"ILMN_1727309";"NM_018145";-0,218426916689046
"ILMN_1670807";"NM_174911";1,10406023158645
"ILMN_3250592";"NM_201400";0,545993657408588
"ILMN_1804117";"NM_001098784";-0,538742153064312
"ILMN_1735453";"NM_015475";0,651774813954299
"ILMN_2043452";"NM_021922";-0,735158498427381
"ILMN_1655642";"NM_018193";0,598810505491683
"ILMN_2053567";"NM_014929";0,518198073387706
"ILMN_1754795";"NM_005245";0,343592524514968
"ILMN_3247578";"NM_005245";0,335946025904024
"ILMN_1664176";"NM_006329";-0,218429635849706
"ILMN_1767441";"NM_152441";-0,834596614522503
"ILMN_1697561";"NM_153350";-0,265620864885476
"ILMN_1703955";"NM_148177";-0,896426380704998
"ILMN_1756874";"NM_018994";-0,466673261404697
"ILMN_1701455";"NM_018438";-0,36553797570234
"ILMN_1672843";"NM_012180";-0,358806733000996
"ILMN_1782015";"NM_001002901";0,48488199321089
"ILMN_1695290";"NM_006832";1,34108856133574
"ILMN_2115005";"NM_173558";-1,14862968703311
"ILMN_2411116";"NM_007045";0,720449508455054
"ILMN_1699206";"NM_033393";-1,19681609166155
"ILMN_2355831";"NM_201555";0,460625896692626
"ILMN_1738578";"NM_014890";-0,587508399253248
"ILMN_1778444";"NM_004117";0,476681094684532
"ILMN_3233739";"NR_024361";0,459902101611834
"ILMN_1689831";"XR_017726";-0,898397274688736
"ILMN_2150802";"NM_025084";-0,780580218839305
"ILMN_1745695";"XR_001403";-0,550414060247981
"ILMN_2113728";"NM_152509";-1,35849635952704
"ILMN_1717265";"NM_001039212";-0,601870023388948
"ILMN_2189859";"NM_152681";0,571872524449472
"ILMN_2041222";"NM_173624";1,02302513101784
"ILMN_3253126";"XR_042107";-0,887500730788168
"ILMN_3272299";"XM_001725002";0,274101807195374
