"";"Category";"Term";"Count";"%";"Pvalue";"FDR";"List Total";"Pop Hits";"Pop Total";"Fold Enrichment";"group"
"45";"GOTERM_CC_FAT";"GO:0033276~transcription factor TFTC complex";10;0,346981263011797;3,98195350820668e-05;0,0641528339722863;2200;14;14527;4,71655844155844;"a"
"46";"GOTERM_CC_FAT";"GO:0043230~extracellular organelle";480;16,6551006245663;0,00167293178461536;2,66223250638872;2200;2826;14527;1,12155954448948;"a"
"47";"GOTERM_CC_FAT";"GO:0044391~ribosomal subunit";68;2,35947258848022;3,23647576719754e-12;5,21589438307046e-09;2200;189;14527;2,37574795574796;"a"
"48";"GOTERM_CC_FAT";"GO:0044427~chromosomal part";182;6,31505898681471;6,80462711965777e-08;0,000109661571667807;2200;827;14527;1,45317907002308;"a"
"49";"GOTERM_CC_FAT";"GO:0044429~mitochondrial part";209;7,25190839694656;1,85174777314331e-07;0,000298422511391117;2200;990;14527;1,39400505050505;"a"
"50";"GOTERM_CC_FAT";"GO:0044445~cytosolic part";69;2,3941707147814;8,38250371991373e-08;0,000135090197805887;2200;239;14527;1,90635793077216;"a"
"51";"GOTERM_CC_FAT";"GO:0044451~nucleoplasm part";163;5,6557945870923;3,65775918211057e-07;0,000589473473255886;2200;741;14527;1,45252177646914;"a"
"52";"GOTERM_CC_FAT";"GO:0044454~nuclear chromosome part";110;3,81679389312977;0,00016793245853081;0,270292426925911;2200;519;14527;1,3995183044316;"a"
"53";"GOTERM_CC_FAT";"GO:0055029~nuclear DNA-directed RNA polymerase complex";37;1,28383067314365;0,000160868135729696;0,258936003704968;2200;130;14527;1,87936713286713;"a"
"54";"GOTERM_CC_FAT";"GO:0061695~transferase complex, transferring phosphorus-containing groups";56;1,94309507286607;0,00300192727379455;4,72960278360288;2200;253;14527;1,46157384117858;"a"
"55";"GOTERM_CC_FAT";"GO:0070062~extracellular exosome";479;16,6204024982651;0,00132625744469609;2,11607140363079;2200;2811;14527;1,1251953365027;"a"
"56";"GOTERM_CC_FAT";"GO:0070161~anchoring junction";168;5,8292852185982;1,21921206185139e-09;1,96485092640586e-06;2200;711;14527;1,56024549290372;"a"
"57";"GOTERM_CC_FAT";"GO:0070461~SAGA-type complex";14;0,485773768216516;0,000859289783196943;1,375852160365;2200;34;14527;2,71895721925134;"a"
"58";"GOTERM_CC_FAT";"GO:0071011~precatalytic spliceosome";12;0,416377515614157;0,00052921266975191;0,84946284084243;2200;25;14527;3,16952727272727;"a"
"59";"GOTERM_CC_FAT";"GO:0071013~catalytic step 2 spliceosome";27;0,936849410131853;0,00089274397855884;1,4290565733902;2200;92;14527;1,93789031620553;"a"
"60";"GOTERM_CC_FAT";"GO:0098687~chromosomal region";76;2,63705759888966;0,000654049388772889;1,04885484730886;2200;346;14527;1,4504098791382;"a"
"61";"GOTERM_CC_FAT";"GO:1903561~extracellular vesicle";480;16,6551006245663;0,00160435590028739;2,55442331462571;2200;2825;14527;1,12195655671762;"a"
"62";"GOTERM_CC_FAT";"GO:1990904~ribonucleoprotein complex";204;7,07841776544067;9,47531955349634e-16;1,60982338570648e-12;2200;787;14527;1,71162527434446;"a"
"63";"GOTERM_CC_FAT";"GO:0005643~nuclear pore";16;1,06524633821571;0,0030264665544762;4,63073426893654;1201;83;14527;2,33171152553595;"b"
"64";"GOTERM_CC_FAT";"GO:0005654~nucleoplasm";318;21,1717709720373;2,84039313438333e-07;0,000444312584557682;1201;2996;14527;1,28386169069167;"b"
"65";"GOTERM_CC_FAT";"GO:0005730~nucleolus";133;8,85486018641811;6,18864239553792e-12;9,68063407214004e-09;1201;882;14527;1,82396283520347;"b"
"66";"GOTERM_CC_FAT";"GO:0005739~mitochondrion";179;11,9174434087883;0,000357587332904008;0,557900254183841;1201;1700;14527;1,27361169613557;"b"
"67";"GOTERM_CC_FAT";"GO:0005743~mitochondrial inner membrane";60;3,99467376830892;0,00324302202742342;4,95426423802485;1201;499;14527;1,45439922309231;"b"
"68";"GOTERM_CC_FAT";"GO:0005829~cytosol";367;24,4340878828229;2,14696400104835e-09;3,35842634813233e-06;1201;3399;14527;1,30601398902895;"b"
"69";"GOTERM_CC_FAT";"GO:0030135~coated vesicle";34;2,26364846870839;0,00256791119616541;3,94225526871136;1201;240;14527;1,71356508465168;"b"
"70";"GOTERM_CC_FAT";"GO:0030529~intracellular ribonucleoprotein complex";104;6,92410119840213;1,43237162782018e-06;0,00224058909956693;1201;786;14527;1,6004559389652;"b"
"71";"GOTERM_CC_FAT";"GO:0030684~preribosome";24;1,59786950732357;3,15651623811908e-08;4,93763508746525e-05;1201;77;14527;3,77010499908085;"b"
"72";"GOTERM_CC_FAT";"GO:0030686~90S preribosome";11;0,732356857523302;9,21592302076944e-05;0,144064472905692;1201;30;14527;4,43510963086317;"b"
"73";"GOTERM_CC_FAT";"GO:0030687~preribosome, large subunit precursor";12;0,798934753661784;1,4633775023969e-05;0,0228886884619639;1201;30;14527;4,83830141548709;"b"
