"";"REFSEQ_MRNA";"logFC"
"ILMN_1662896";"NM_018117";NA
"ILMN_1677684";"NM_144587";NA
"ILMN_2319414";"NM_001037637";NA
"ILMN_2154836";"NM_006806";NA
"ILMN_1815718";"NM_033637";NA
"ILMN_1710697";"NM_003910";NA
"ILMN_1738955";"NM_173473";NA
"ILMN_1658830";"NM_001083913";NA
"ILMN_1662470";"NM_145306";NA
"ILMN_1792270";"NM_153810";NA
"ILMN_1708277";"NM_001001791";NA
"ILMN_1665660";"NM_182901";NA
"ILMN_2160718";"NM_173589";NA
"ILMN_1739345";"NM_024099";NA
"ILMN_2341487";"NM_001003677";NA
"ILMN_1728965";"NM_018195";NA
"ILMN_2243516";"NM_199124";NA
"ILMN_1683635";"NM_032930";NA
"ILMN_1781419";"NM_016401";NA
"ILMN_1795564";"NM_138471";NA
"ILMN_1777765";"NM_021640";NA
"ILMN_1804611";"NM_152261";NA
"ILMN_1772446";"NM_032829";NA
"ILMN_1713189";"NM_017822";NA
"ILMN_2169856";"NM_022895";NA
"ILMN_1675616";"NM_152319";NA
"ILMN_1660812";"NM_018453";NA
"ILMN_1706305";"NM_016468";NA
"ILMN_2078724";"NM_032374";NA
"ILMN_1711543";"NM_024644";NA
"ILMN_3243606";"NM_001010860";NA
"ILMN_1658628";"XM_944937";NA
"ILMN_1653553";"NM_173608";NA
"ILMN_1690443";"XM_944991";NA
"ILMN_2134381";"NR_002808";NA
"ILMN_1696031";"NM_001005267";NA
"ILMN_1686662";"XR_001373";NA
"ILMN_1747217";"NM_032499";NA
"ILMN_1700169";"NM_030800";NA
"ILMN_1771326";"NM_030800";NA
"ILMN_2268026";"NM_030800";NA
"ILMN_1795524";"NM_030800";NA
"ILMN_2413318";"NM_001080791";NA
"ILMN_1811264";"NM_052849";NA
"ILMN_2073543";"NM_016400";NA
"ILMN_1774990";"NM_001040162";NA
"ILMN_2369580";"NM_001039476";NA
"ILMN_1733581";"NM_012075";NA
"ILMN_1713884";"NM_001001410";NA
"ILMN_1765880";"NM_024598";NA
"ILMN_2112599";"NM_013242";NA
"ILMN_1759325";"NM_001010878";NA
"ILMN_2179726";"NM_001014979";NA
"ILMN_3195203";"NM_175902";NA
"ILMN_1727078";"NM_032339";NA
"ILMN_2113016";"NM_024052";NA
"ILMN_1776490";"NM_024032";NA
"ILMN_1656069";"NM_178519";NA
"ILMN_2398926";"NM_181656";NA
"ILMN_1700515";"NM_181656";NA
"ILMN_1712985";"NM_181656";NA
"ILMN_3263062";"XR_041640";NA
"ILMN_1805131";"NM_001039842";NA
"ILMN_2390310";"NM_001001870";NA
"ILMN_2280731";"NM_001080510";NA
"ILMN_1688727";"NM_001080510";NA
"ILMN_1719097";"NM_013326";NA
"ILMN_1787844";"NM_019107";NA
"ILMN_1808202";"NM_138774";NA
"ILMN_2262462";"NM_001080543";NA
"ILMN_1730818";"NM_174947";NA
"ILMN_3251733";"NM_024038";NA
"ILMN_1801572";"NM_032207";NA
"ILMN_2383484";"NM_199250";NA
"ILMN_1790951";"NM_024069";NA
"ILMN_1772074";"NM_178837";NA
"ILMN_1726181";"NM_138358";NA
"ILMN_2326282";"NM_001033026";NA
"ILMN_3188110";"NM_001100419";NA
"ILMN_1737005";"NM_019108";NA
"ILMN_1786273";"NM_198446";NA
"ILMN_2076940";"NM_022756";NA
"ILMN_1657860";"NM_001032363";NA
"ILMN_1672811";"NM_017891";NA
"ILMN_1659975";"NM_152374";NA
"ILMN_1681741";"NM_001012985";NA
"ILMN_1749915";"NM_020317";NA
"ILMN_1760556";"NM_207035";NA
"ILMN_2097790";"NM_182533";NA
"ILMN_1726989";"NM_182533";NA
"ILMN_1673752";"NM_019118";NA
"ILMN_3243682";"NM_152371";NA
"ILMN_2380237";"NM_198594";NA
"ILMN_1781626";"NM_001734";NA
"ILMN_2049727";"NM_016470";NA
"ILMN_1679195";"NM_199483";NA
"ILMN_2283388";"NM_018840";NA
"ILMN_1801633";"NM_080748";NA
"ILMN_1813344";"NM_024120";NA
"ILMN_2350607";"NM_024120";NA
"ILMN_1715625";"NM_001009608";NA
"ILMN_2211724";"NM_001001789";NA
"ILMN_1712386";"NM_018944";NA
"ILMN_2356311";"NM_001042401";NA
"ILMN_2266005";"NM_001042401";NA
"ILMN_1814204";"NM_017833";NA
"ILMN_3307877";"NM_058180";NA
"ILMN_1699071";"NM_020152";NA
"ILMN_1793572";"NM_153750";NA
"ILMN_2110496";"NM_017447";NA
"ILMN_1698166";"NM_017447";NA
"ILMN_1737255";"NM_207644";NA
"ILMN_1804884";"NM_173793";NA
"ILMN_2073520";"NM_182587";NA
"ILMN_1795007";"NM_024520";NA
"ILMN_1683065";"NM_001008215";NA
"ILMN_3236377";"NM_153689";NA
"ILMN_1726729";"NM_001017927";NA
"ILMN_2331658";"NM_001025072";NA
"ILMN_1671387";"NM_001029840";NA
"ILMN_2288483";"NM_032898";NA
"ILMN_3238618";"NR_021485";NA
"ILMN_1691557";"NM_199417";NA
"ILMN_1761963";"NM_001039717";NA
"ILMN_1812701";"NM_001099783";NA
"ILMN_3239531";"NM_001141936";NA
"ILMN_1695917";"NM_020199";NA
"ILMN_1654542";"NM_032042";NA
"ILMN_1763326";"NM_198567";NA
"ILMN_2150465";"NM_022483";NA
"ILMN_1761566";"NM_032412";NA
"ILMN_1677303";"NM_023073";NA
"ILMN_2232494";"NM_023073";NA
"ILMN_1673478";"NM_016603";NA
"ILMN_1685854";"NM_001007189";NA
"ILMN_1757723";"NM_024294";NA
"ILMN_1720858";"NM_021243";NA
"ILMN_1743187";"NM_001029863";NA
"ILMN_1790461";"NM_032340";NA
"ILMN_1804834";"NM_145063";NA
"ILMN_3252665";"XM_941544";NA
"ILMN_1742467";"NM_001013732";NA
"ILMN_2228196";"NM_152730";NA
"ILMN_1763907";"NM_001012507";NA
"ILMN_3248091";"NM_153246";NA
"ILMN_1722945";"XM_938497";NA
"ILMN_1657064";"NM_018341";NA
"ILMN_1745119";"NM_138701";NA
"ILMN_2183885";"NM_138701";NA
"ILMN_1701724";"NM_015949";NA
"ILMN_1678863";"NM_138434";NA
"ILMN_1729130";"NM_017994";NA
"ILMN_1770030";"NM_018275";NA
"ILMN_1741475";"NM_145030";NA
"ILMN_1740903";"NM_024033";NA
"ILMN_1718336";"NM_032350";NA
"ILMN_2098325";"NM_023080";NA
"ILMN_1706275";"NM_023080";NA
"ILMN_2091084";"NM_177965";NA
"ILMN_1727618";"NM_152416";NA
"ILMN_1792242";"NM_019607";NA
"ILMN_2113738";"NM_173518";NA
"ILMN_1784408";"XR_017961";NA
"ILMN_1681221";"NM_032818";NA
"ILMN_1717403";"NM_032818";NA
"ILMN_1803317";"NM_016390";NA
"ILMN_1811555";"NM_001040011";NA
"ILMN_1738678";"XM_939697";NA
"ILMN_1702197";"NM_178448";NA
"ILMN_3251592";"NM_178448";NA
"ILMN_1761138";"NM_183241";NA
"ILMN_1766793";"NM_148179";NA
"ILMN_1714278";"NM_080655";NA
"ILMN_1711799";"NM_017998";NA
"ILMN_1777318";"NM_032307";NA
"ILMN_1814856";"NM_017586";NA
"ILMN_2079098";"NM_021218";NA
"ILMN_1678477";"NM_182505";NA
"ILMN_2412139";"NM_153768";NA
"ILMN_1702149";"NM_014405";NA
"ILMN_1730487";"NM_033140";NA
"ILMN_2324002";"NM_033157";NA
"ILMN_1717990";"NM_033138";NA
"ILMN_1757210";"NM_001031733";NA
"ILMN_1794863";"NM_018584";NA
"ILMN_1743021";"NM_153500";NA
"ILMN_1797604";"NM_006367";NA
"ILMN_1691237";"NM_006366";NA
"ILMN_2345739";"NM_023925";NA
"ILMN_3307742";"NM_032606";NA
"ILMN_1743714";"NM_014550";NA
"ILMN_1726591";"NM_052889";NA
"ILMN_3252556";"NM_001017534";NA
"ILMN_2192281";"NM_014959";NA
"ILMN_1768556";"NM_020753";NA
"ILMN_2326509";"NM_033294";NA
"ILMN_2326512";"NM_033294";NA
"ILMN_2373763";"NM_033339";NA
"ILMN_2322806";"NM_001042442";NA
"ILMN_2286014";"NM_172097";NA
"ILMN_1658835";"NM_001233";NA
"ILMN_1804735";"NM_000071";NA
"ILMN_1691930";"NM_014292";NA
"ILMN_1775183";"NM_020649";NA
"ILMN_2122511";"NM_133459";NA
"ILMN_1778371";"NM_001008661";NA
"ILMN_2244484";"NM_001008661";NA
"ILMN_1684789";"NM_138414";NA
"ILMN_1791905";"NM_213607";NA
"ILMN_1792456";"NM_080667";NA
"ILMN_2103014";"NM_080667";NA
"ILMN_1716368";"NM_152683";NA
"ILMN_1775520";"NM_014157";NA
"ILMN_1725071";"NM_144716";NA
"ILMN_1714710";"NM_033626";NA
"ILMN_1679971";"NM_032816";NA
"ILMN_1811775";"NM_138442";NA
"ILMN_3244319";"NM_176816";NA
"ILMN_1743506";"NM_199287";NA
"ILMN_1783676";"NM_025004";NA
"ILMN_1825660";"NM_025004";NA
"ILMN_1812489";"NM_022778";NA
"ILMN_1781234";"NM_014008";NA
"ILMN_1789266";"NM_018246";NA
"ILMN_1798659";"NM_015439";NA
"ILMN_2099586";"NM_024296";NA
"ILMN_1738333";"NM_178335";NA
"ILMN_3235171";"NM_001103175";NA
"ILMN_1768433";"NM_022903";NA
"ILMN_1657332";"NM_006848";NA
"ILMN_3245310";"NM_018074";NA
"ILMN_1659601";"NM_006072";NA
"ILMN_2098126";"NM_002985";NA
"ILMN_1667081";"NM_001759";NA
"ILMN_1668721";"NM_001760";NA
"ILMN_2384785";"NM_057182";NA
"ILMN_1795852";"NM_057182";NA
"ILMN_2374425";"NM_001238";NA
"ILMN_1694491";"NM_199246";NA
"ILMN_1747244";"NM_004354";NA
"ILMN_2228732";"NM_004354";NA
"ILMN_3241750";"NM_001039780";NA
"ILMN_2409290";"NM_020739";NA
"ILMN_1794190";"NM_020739";NA
"ILMN_2387696";"NM_031409";NA
"ILMN_1686804";"NM_178432";NA
"ILMN_1689378";"NM_012118";NA
"ILMN_1651828";"NM_001008800";NA
"ILMN_1662954";"NM_006429";NA
"ILMN_2326713";"NM_139030";NA
"ILMN_1750003";"NM_138806";NA
"ILMN_2408112";"NM_138940";NA
"ILMN_2060413";"NM_013230";NA
"ILMN_1805519";"NM_013230";NA
"ILMN_2115633";"NM_016579";NA
"ILMN_1771333";"NM_198793";NA
"ILMN_1714861";"NM_001251";NA
"ILMN_2359907";"NM_001251";NA
"ILMN_1734878";"NM_021601";NA
"ILMN_1673363";"NM_078481";NA
"ILMN_2401906";"NM_138477";NA
"ILMN_1687074";"NM_033331";NA
"ILMN_2379560";"NM_033331";NA
"ILMN_1727389";"NM_003903";NA
"ILMN_1663390";"NM_001255";NA
"ILMN_1711078";"NM_024011";NA
"ILMN_1713006";"NM_004359";NA
"ILMN_1738424";"NM_001039802";NA
"ILMN_1652777";"NM_006779";NA
"ILMN_1736327";"NM_006449";NA
"ILMN_1670238";"NM_003504";NA
"ILMN_1737728";"NM_031299";NA
"ILMN_2383964";"NM_145701";NA
"ILMN_2230683";"NM_018719";NA
"ILMN_1709294";"NM_018101";NA
"ILMN_1779228";"NM_001792";NA
"ILMN_1779934";"NM_052836";NA
"ILMN_1741459";"NM_052988";NA
"ILMN_3245559";"NM_004642";NA
"ILMN_1690653";"NM_005851";NA
"ILMN_1730928";"NM_003885";NA
"ILMN_2062271";"NM_003885";NA
"ILMN_1747556";"NM_001261";NA
"ILMN_1722811";"NM_004064";NA
"ILMN_2196347";"NM_004064";NA
"ILMN_2130078";"NM_080656";NA
"ILMN_1801476";"NM_001263";NA
"ILMN_1777479";"NM_152342";NA
"ILMN_1693014";"NM_005194";NA
"ILMN_2392472";"NM_001042426";NA
"ILMN_1742779";"NM_033319";NA
"ILMN_1670769";"NM_018132";NA
"ILMN_3246608";"NM_181716";NA
"ILMN_1729142";"NM_181716";NA
"ILMN_1800530";"NM_014914";NA
"ILMN_1742400";"NM_014810";NA
"ILMN_1791568";"NM_014679";NA
"ILMN_1808500";"NM_015147";NA
"ILMN_2362681";"NM_003869";NA
"ILMN_1657803";"NM_001014975";NA
"ILMN_1789830";"NM_003879";NA
"ILMN_1740170";"NM_213720";NA
"ILMN_2324375";"NM_001011670";NA
"ILMN_1744138";"NM_001011671";NA
"ILMN_1658411";"NM_001273";NA
"ILMN_1685551";"NM_001273";NA
