"";"ID";"SYMBOL";"a0Mean";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"186";"ILMN_1880983";"";" 5.34";"0.863";"0.0455";"0.0488";"0.0426"
"187";"ILMN_1674710";"LOC647784";" 5.61";"0.863";"0.0430";"0.0488";"0.0450"
"188";"ILMN_1761262";"MPI";" 5.79";"0.863";"0.0494";"0.0425";"0.0450"
"189";"ILMN_2274775";"SLC44A4";"12.31";"0.863";"0.0482";"0.0454";"0.0433"
"190";"ILMN_1774066";"TMEM141";"10.02";"0.863";"0.0425";"0.0505";"0.0439"
"191";"ILMN_1662954";"CCT7";" 9.50";"0.863";"0.0426";"0.0478";"0.0466"
"192";"ILMN_1815303";"LOC642197";" 8.47";"0.863";"0.0456";"0.0471";"0.0444"
"193";"ILMN_3211857";"LOC648822";" 7.71";"0.863";"0.0464";"0.0437";"0.0470"
"194";"ILMN_1707175";"NSD1";" 5.09";"0.863";"0.0442";"0.0436";"0.0493"
"195";"ILMN_3251521";"PARG";" 5.00";"0.863";"0.0451";"0.0489";"0.0431"
"196";"ILMN_2383107";"VPS41";" 8.56";"0.863";"0.0435";"0.0489";"0.0447"
"197";"ILMN_3182020";"LOC100129441";" 5.56";"0.863";"0.0454";"0.0435";"0.0483"
"198";"ILMN_2404795";"SULT1A1";" 9.97";"0.863";"0.0452";"0.0471";"0.0450"
"199";"ILMN_1692145";"ZNF14";"11.30";"0.863";"0.0458";"0.0461";"0.0454"
"200";"ILMN_1738955";"C10orf104";" 8.58";"0.863";"0.0488";"0.0446";"0.0439"
"201";"ILMN_1690099";"ITGB1BP1";" 9.94";"0.863";"0.0431";"0.0464";"0.0478"
"202";"ILMN_1657317";"POLR2J";" 5.94";"0.863";"0.0427";"0.0510";"0.0436"
"203";"ILMN_3243606";"C14orf174";" 5.86";"0.863";"0.0425";"0.0425";"0.0524"
"204";"ILMN_1755114";"EIF2AK4";" 7.86";"0.863";"0.0444";"0.0426";"0.0504"
"205";"ILMN_2360229";"MAPKAP1";" 8.39";"0.863";"0.0425";"0.0432";"0.0517"
"206";"ILMN_1714335";"RDH10";"11.13";"0.863";"0.0438";"0.0466";"0.0470"
"207";"ILMN_3246724";"CISD3";" 5.38";"0.863";"0.0487";"0.0448";"0.0440"
"208";"ILMN_1701854";"GNG5";" 9.43";"0.863";"0.0492";"0.0457";"0.0426"
"209";"ILMN_2363027";"RAD51";" 7.13";"0.863";"0.0453";"0.0426";"0.0497"
"210";"ILMN_1685088";"RPL36";"12.39";"0.863";"0.0517";"0.0425";"0.0433"
"211";"ILMN_2358783";"ASB3";" 8.04";"0.862";"0.0449";"0.0442";"0.0486"
"212";"ILMN_1695763";"PDIA5";" 7.28";"0.862";"0.0470";"0.0480";"0.0426"
"213";"ILMN_1753663";"ARL4A";" 5.23";"0.862";"0.0433";"0.0456";"0.0488"
"214";"ILMN_2359907";"CD68";" 8.92";"0.862";"0.0425";"0.0513";"0.0440"
"215";"ILMN_1681802";"GRK6";" 5.55";"0.862";"0.0496";"0.0446";"0.0435"
"216";"ILMN_1672966";"RCP9";" 5.44";"0.862";"0.0493";"0.0455";"0.0429"
"217";"ILMN_1802053";"ZNF91";" 5.49";"0.862";"0.0521";"0.0425";"0.0431"
"218";"ILMN_2122511";"CCBE1";" 9.71";"0.862";"0.0433";"0.0520";"0.0425"
"219";"ILMN_2405680";"CRB3";" 7.22";"0.862";"0.0450";"0.0460";"0.0468"
"220";"ILMN_1723092";"CRB3";" 8.86";"0.862";"0.0480";"0.0427";"0.0470"
"221";"ILMN_1801909";"IGHMBP2";" 4.84";"0.862";"0.0425";"0.0506";"0.0448"
"222";"ILMN_3206390";"LOC727808";"13.41";"0.862";"0.0498";"0.0452";"0.0427"
"223";"ILMN_1659894";"SLC25A26";" 5.27";"0.862";"0.0474";"0.0479";"0.0425"
"224";"ILMN_1781104";"MAP2K7";" 5.68";"0.862";"0.0442";"0.0476";"0.0461"
"225";"ILMN_2408576";"FAM129B";"10.47";"0.862";"0.0438";"0.0462";"0.0480"
"226";"ILMN_1752559";"FBS1";" 4.85";"0.862";"0.0505";"0.0427";"0.0448"
"227";"ILMN_1804642";"SMUG1";" 9.40";"0.862";"0.0427";"0.0510";"0.0443"
"228";"ILMN_1724333";"TOR1B";" 7.76";"0.862";"0.0440";"0.0492";"0.0447"
"229";"ILMN_1657803";"CFH";" 5.11";"0.862";"0.0442";"0.0509";"0.0431"
"230";"ILMN_1791057";"IFNAR2";" 5.96";"0.862";"0.0523";"0.0428";"0.0429"
"231";"ILMN_3177271";"LOC100129585";" 9.10";"0.862";"0.0435";"0.0424";"0.0521"
"232";"ILMN_3277321";"LOC392264";" 5.13";"0.862";"0.0531";"0.0425";"0.0426"
"233";"ILMN_1722450";"NSUN5B";" 5.16";"0.862";"0.0424";"0.0439";"0.0518"
"234";"ILMN_2405023";"PPP1CB";" 6.06";"0.862";"0.0427";"0.0529";"0.0425"
"235";"ILMN_2287888";"PSMC4";" 8.18";"0.862";"0.0497";"0.0443";"0.0441"
"236";"ILMN_1760683";"SFRS9";"11.99";"0.862";"0.0503";"0.0451";"0.0427"
"237";"ILMN_1734559";"SORD";" 5.48";"0.862";"0.0512";"0.0436";"0.0433"
"238";"ILMN_1693333";"TMEM19";" 5.26";"0.862";"0.0492";"0.0450";"0.0439"
"239";"ILMN_3246962";"CYTSA";" 7.23";"0.862";"0.0493";"0.0447";"0.0442"
"240";"ILMN_1714896";"SART3";" 6.31";"0.862";"0.0426";"0.0530";"0.0426"
"241";"ILMN_2284181";"UGP2";" 5.29";"0.862";"0.0424";"0.0480";"0.0478"
"242";"ILMN_1654289";"ELK1";" 8.25";"0.862";"0.0429";"0.0528";"0.0426"
"243";"ILMN_2087941";"ENTPD3";" 7.37";"0.862";"0.0525";"0.0434";"0.0424"
"244";"ILMN_3261747";"LOC100128729";" 5.12";"0.862";"0.0449";"0.0458";"0.0476"
"245";"ILMN_1785711";"NEDD8";" 8.84";"0.862";"0.0461";"0.0433";"0.0489"
"246";"ILMN_1697777";"TSTA3";" 6.30";"0.862";"0.0446";"0.0511";"0.0426"
"247";"ILMN_3249658";"LOC100134868";" 8.63";"0.862";"0.0488";"0.0459";"0.0437"
"248";"ILMN_3250427";"LOC646278";" 5.08";"0.862";"0.0472";"0.0429";"0.0483"
"249";"ILMN_3220718";"LOC729086";" 5.78";"0.862";"0.0515";"0.0439";"0.0431"
"250";"ILMN_3300198";"LOC729580";" 5.74";"0.862";"0.0499";"0.0452";"0.0433"
"251";"ILMN_1728779";"NGLY1";" 7.89";"0.862";"0.0434";"0.0424";"0.0526"
"252";"ILMN_2129649";"RAB27B";" 5.38";"0.862";"0.0432";"0.0425";"0.0527"
"253";"ILMN_1719468";"EPM2A";" 5.35";"0.862";"0.0469";"0.0449";"0.0467"
"254";"ILMN_1699632";"RANBP3";" 5.07";"0.862";"0.0481";"0.0425";"0.0480"
"255";"ILMN_3239198";"LOC100132829";" 5.01";"0.861";"0.0490";"0.0424";"0.0472"
"256";"ILMN_1712999";"LOC642103";" 4.98";"0.861";"0.0451";"0.0497";"0.0438"
"257";"ILMN_1702171";"LPCAT1";" 8.65";"0.861";"0.0459";"0.0437";"0.0490"
"258";"ILMN_1803110";"SF3B3";" 8.88";"0.861";"0.0462";"0.0460";"0.0465"
"259";"ILMN_1802146";"ZNF74";" 5.01";"0.861";"0.0433";"0.0455";"0.0498"
"260";"ILMN_2358784";"ASB3";" 9.07";"0.861";"0.0434";"0.0427";"0.0527"
"261";"ILMN_2160718";"C11orf47";" 5.03";"0.861";"0.0454";"0.0479";"0.0453"
"262";"ILMN_1822180";"";" 5.20";"0.861";"0.0425";"0.0523";"0.0439"
"263";"ILMN_1709728";"SLC30A5";" 9.09";"0.861";"0.0472";"0.0483";"0.0432"
"264";"ILMN_1660027";"FCGR2B";" 5.13";"0.861";"0.0538";"0.0426";"0.0425"
"265";"ILMN_1745499";"UXT";" 5.34";"0.861";"0.0504";"0.0446";"0.0437"
"266";"ILMN_2120340";"RUVBL2";" 9.82";"0.861";"0.0514";"0.0451";"0.0424"
"267";"ILMN_1725366";"SLC27A5";" 5.57";"0.861";"0.0464";"0.0465";"0.0460"
"268";"ILMN_1657283";"ALKBH5";"12.02";"0.861";"0.0474";"0.0491";"0.0424"
"269";"ILMN_1812489";"CCDC21";" 6.50";"0.861";"0.0480";"0.0466";"0.0443"
"270";"ILMN_1747318";"INADL";" 5.29";"0.861";"0.0515";"0.0441";"0.0433"
"271";"ILMN_1710124";"CMTM8";" 8.02";"0.861";"0.0434";"0.0445";"0.0512"
"272";"ILMN_1777519";"ITGB7";" 6.27";"0.861";"0.0427";"0.0425";"0.0539"
"273";"ILMN_3284177";"LOC100132425";" 7.75";"0.861";"0.0527";"0.0438";"0.0426"
"274";"ILMN_1660345";"NGRN";" 8.23";"0.861";"0.0525";"0.0434";"0.0432"
"275";"ILMN_3249419";"LOC728457";" 7.29";"0.861";"0.0455";"0.0449";"0.0488"
"276";"ILMN_1679358";"ZDHHC5";" 8.59";"0.861";"0.0491";"0.0476";"0.0426"
"277";"ILMN_1661554";"DIAPH1";" 9.14";"0.861";"0.0432";"0.0504";"0.0457"
