"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1557";"ILMN_1731619";"DAD1";"12.31";"12.19";" 0.1233";"0.02717";"0.00482";"0.02760";"0.0766";"0.811";"0.0577";"0.0542"
"1558";"ILMN_1716507";"EPB41L1";" 7.31";" 7.90";"-0.5905";"0.08337";"0.09922";"0.12960";"0.0695";"0.811";"0.1113";"0.0080"
"1559";"ILMN_3273996";"LOC100129148";" 4.98";" 5.40";"-0.4211";"0.04217";"0.10116";"0.10960";"0.1596";"0.811";"0.0190";"0.0101"
"1560";"ILMN_2325506";"BCAS4";" 7.98";" 8.51";"-0.5365";"0.08846";"0.09012";"0.12628";"0.0983";"0.811";"0.0614";"0.0291"
"1561";"ILMN_2382829";"PRDX2";" 9.50";"10.16";"-0.6630";"0.11962";"0.08989";"0.14964";"0.0799";"0.811";"0.0801";"0.0289"
"1562";"ILMN_1740716";"RBM26";" 7.68";" 7.16";" 0.5258";"0.10048";"0.06119";"0.11764";"0.0765";"0.811";"0.0802";"0.0327"
"1563";"ILMN_2208777";"NHLH2";" 5.83";" 5.43";" 0.4033";"0.06210";"0.07658";"0.09860";"0.1183";"0.810";"0.0637";"0.0076"
"1564";"ILMN_1688184";"CSPG5";" 4.76";" 5.16";"-0.3987";"0.06983";"0.01377";"0.07118";"0.0238";"0.810";"0.1626";"0.0034"
"1565";"ILMN_1723232";"LOC96610";" 6.72";" 5.99";" 0.7250";"0.11028";"0.13696";"0.17584";"0.1137";"0.810";"0.0479";"0.0283"
"1566";"ILMN_1674302";"PPAT";" 8.14";" 6.95";" 1.1955";"0.22605";"0.12010";"0.25598";"0.0612";"0.810";"0.1046";"0.0241"
"1567";"ILMN_3245752";"LOC100134011";" 6.01";" 6.20";"-0.1877";"0.02093";"0.04410";"0.04882";"0.1590";"0.810";"0.0219";"0.0091"
"1568";"ILMN_2197519";"ZNF627";" 7.92";" 7.82";" 0.0990";"0.00746";"0.02463";"0.02573";"0.1582";"0.810";"0.0213";"0.0110"
"1569";"ILMN_1752579";"ATP6V0A1";" 9.96";"10.14";"-0.1831";"0.02863";"0.02687";"0.03927";"0.0617";"0.809";"0.1166";"0.0125"
"1570";"ILMN_3248803";"LOC729680";" 8.17";" 7.79";" 0.3829";"0.08969";"0.04496";"0.10033";"0.1645";"0.809";"0.0127";"0.0136"
"1571";"ILMN_3234993";"ROMO1";"11.69";"11.88";"-0.1958";"0.02257";"0.04079";"0.04662";"0.1037";"0.809";"0.0711";"0.0163"
"1572";"ILMN_1692473";"PRMT1";"10.72";"10.31";" 0.4096";"0.10065";"0.01841";"0.10232";"0.1309";"0.809";"0.0193";"0.0412"
"1573";"ILMN_1734814";"HSPA4";"10.20";" 9.09";" 1.1107";"0.19277";"0.16574";"0.25423";"0.0854";"0.808";"0.0782";"0.0279"
"1574";"ILMN_1681467";"RAB11FIP4";" 5.53";" 6.25";"-0.7204";"0.15458";"0.07200";"0.17052";"0.1008";"0.808";"0.0386";"0.0521"
"1575";"ILMN_1759232";"IRS1";" 8.98";" 7.88";" 1.1010";"0.16354";"0.23458";"0.28596";"0.1575";"0.808";"0.0183";"0.0160"
"1576";"ILMN_2342033";"F11R";"10.47";"10.99";"-0.5157";"0.07387";"0.10448";"0.12796";"0.1266";"0.808";"0.0387";"0.0268"
"1577";"ILMN_1738523";"MYD88";" 6.95";" 7.56";"-0.6031";"0.07690";"0.12060";"0.14303";"0.1017";"0.808";"0.0820";"0.0085"
"1578";"ILMN_1653529";"TEX10";" 8.73";" 8.16";" 0.5752";"0.13664";"0.04545";"0.14400";"0.1322";"0.808";"0.0201";"0.0399"
"1579";"ILMN_1695590";"ADRB2";"10.30";"10.17";" 0.1303";"0.02715";"0.02102";"0.03433";"0.1686";"0.808";"0.0129";"0.0108"
"1580";"ILMN_1690921";"STAT2";" 9.66";"10.46";"-0.7981";"0.15375";"0.07467";"0.17092";"0.0611";"0.807";"0.1059";"0.0255"
"1581";"ILMN_1659610";"TJP3";" 8.67";" 9.42";"-0.7494";"0.17650";"0.01695";"0.17731";"0.1004";"0.807";"0.0307";"0.0618"
"1582";"ILMN_2215119";"SYNJ2";" 6.49";" 7.02";"-0.5299";"0.08971";"0.09233";"0.12873";"0.1141";"0.807";"0.0455";"0.0336"
"1583";"ILMN_1660661";"TCP1";"10.14";" 9.62";" 0.5129";"0.10764";"0.03677";"0.11375";"0.0728";"0.807";"0.0773";"0.0432"
