"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"646";"ILMN_1768973";"HIST2H2AC";" 9.93";"10.12";"-0.1919";"0.034029";"0.02663";"0.04321";"0.1047";"0.0135";"0.873";"0.0092"
"647";"ILMN_2264625";"NIPBL";" 8.19";" 7.14";" 1.0588";"0.056712";"0.16126";"0.17095";"0.0961";"0.0188";"0.873";"0.0126"
"648";"ILMN_1766200";"CALHM2";" 6.07";" 6.50";"-0.4352";"0.089550";"0.05004";"0.10258";"0.0651";"0.0195";"0.872";"0.0430"
"649";"ILMN_1690963";"ASAP1";" 9.09";" 8.62";" 0.4747";"0.016914";"0.07265";"0.07460";"0.0956";"0.0138";"0.872";"0.0185"
"650";"ILMN_2239754";"IFIT3";" 6.12";" 5.47";" 0.6431";"0.085879";"0.09519";"0.12820";"0.1085";"0.0088";"0.872";"0.0108"
"651";"ILMN_1757732";"OSGIN2";" 6.91";" 5.86";" 1.0485";"0.006022";"0.13083";"0.13097";"0.0329";"0.0894";"0.872";"0.0058"
"652";"ILMN_1674385";"YWHAQ";"13.20";"13.06";" 0.1478";"0.021414";"0.02015";"0.02940";"0.0806";"0.0169";"0.872";"0.0307"
"653";"ILMN_1651788";"MAP3K11";" 7.27";" 7.68";"-0.4164";"0.039929";"0.05346";"0.06673";"0.0481";"0.0661";"0.872";"0.0142"
"654";"ILMN_2096784";"TFAP2C";" 9.19";" 9.52";"-0.3298";"0.031812";"0.04664";"0.05646";"0.0759";"0.0313";"0.872";"0.0212"
"655";"ILMN_1658695";"NUF2";" 7.50";" 6.72";" 0.7796";"0.057112";"0.11562";"0.12895";"0.0882";"0.0193";"0.872";"0.0210"
"656";"ILMN_1801383";"SMG1";" 8.82";" 7.80";" 1.0254";"0.102014";"0.14910";"0.18065";"0.0873";"0.0170";"0.872";"0.0243"
"657";"ILMN_1679178";"ATP5D";" 8.30";" 8.58";"-0.2721";"0.034595";"0.03884";"0.05201";"0.0899";"0.0295";"0.871";"0.0092"
"658";"ILMN_3238560";"IFI27L2";" 8.86";" 9.48";"-0.6171";"0.141818";"0.06613";"0.15648";"0.0651";"0.0585";"0.871";"0.0051"
"659";"ILMN_1768393";"SNRPD1";" 7.37";" 6.44";" 0.9231";"0.026404";"0.10857";"0.11173";"0.0246";"0.0989";"0.871";"0.0053"
"660";"ILMN_1743205";"ABCA7";" 5.93";" 6.21";"-0.2894";"0.021065";"0.04220";"0.04716";"0.0811";"0.0379";"0.871";"0.0100"
"661";"ILMN_2342084";"BCAP29";" 7.70";" 7.35";" 0.3534";"0.090714";"0.02731";"0.09474";"0.0410";"0.0346";"0.870";"0.0540"
"662";"ILMN_2369682";"HNRPA2B1";"12.95";"12.40";" 0.5492";"0.002178";"0.07318";"0.07321";"0.0462";"0.0756";"0.870";"0.0082"
"663";"ILMN_1757388";"OCEL1";" 6.30";" 6.92";"-0.6211";"0.006376";"0.08492";"0.08516";"0.0529";"0.0679";"0.870";"0.0096"
"664";"ILMN_1745447";"HIVEP2";" 5.20";" 5.67";"-0.4667";"0.035122";"0.06563";"0.07444";"0.0685";"0.0454";"0.869";"0.0171"
"665";"ILMN_1696657";"LRRN2";" 5.99";" 6.77";"-0.7747";"0.147821";"0.09336";"0.17484";"0.0675";"0.0250";"0.869";"0.0385"
"666";"ILMN_1778709";"PICALM";" 6.05";" 5.82";" 0.2352";"0.011221";"0.03449";"0.03627";"0.0786";"0.0359";"0.869";"0.0165"
"667";"ILMN_1803279";"TMED5";" 8.01";" 7.21";" 0.7979";"0.193442";"0.07235";"0.20653";"0.0480";"0.0324";"0.869";"0.0506"
"668";"ILMN_2328029";"EXT2";" 6.87";" 7.08";"-0.2122";"0.002634";"0.03297";"0.03308";"0.1007";"0.0134";"0.869";"0.0173"
"669";"ILMN_2226304";"ANKRD50";" 7.15";" 6.30";" 0.8466";"0.106311";"0.12003";"0.16034";"0.0864";"0.0167";"0.869";"0.0284"
"670";"ILMN_2323526";"WAC";" 8.87";" 8.51";" 0.3557";"0.037346";"0.05114";"0.06332";"0.0843";"0.0378";"0.869";"0.0093"
"671";"ILMN_1815673";"DKK3";" 9.06";"10.06";"-0.9948";"0.158931";"0.12658";"0.20318";"0.0661";"0.0371";"0.868";"0.0293"
"672";"ILMN_1688404";"ZMYM4";" 7.16";" 6.61";" 0.5577";"0.027517";"0.08544";"0.08976";"0.0975";"0.0221";"0.867";"0.0130"
"673";"ILMN_1658333";"ECM1";" 5.25";" 5.68";"-0.4318";"0.025955";"0.06717";"0.07201";"0.1070";"0.0129";"0.867";"0.0136"
"674";"ILMN_1705985";"PIGA";" 8.37";" 7.12";" 1.2454";"0.217525";"0.15839";"0.26908";"0.0729";"0.0249";"0.867";"0.0356"
"675";"ILMN_2047206";"TMX3";" 6.95";" 6.04";" 0.9099";"0.077962";"0.13587";"0.15665";"0.0938";"0.0287";"0.866";"0.0110"
"676";"ILMN_1691572";"TST";"11.41";"11.65";"-0.2382";"0.034812";"0.03287";"0.04788";"0.0850";"0.0163";"0.866";"0.0323"
"677";"ILMN_1671843";"PSRC1";" 8.02";" 8.31";"-0.2914";"0.019058";"0.04451";"0.04842";"0.0991";"0.0225";"0.866";"0.0124"
"678";"ILMN_3307926";"ADRBK1";" 9.15";" 9.31";"-0.1639";"0.023527";"0.02315";"0.03301";"0.0924";"0.0078";"0.866";"0.0339"
"679";"ILMN_1684086";"BDKRB2";" 6.15";" 6.40";"-0.2590";"0.072578";"0.02533";"0.07687";"0.0855";"0.0426";"0.866";"0.0060"
"680";"ILMN_1696654";"IFIT5";" 5.10";" 4.75";" 0.3512";"0.045050";"0.05056";"0.06772";"0.0933";"0.0103";"0.866";"0.0308"
"681";"ILMN_1766803";"TUBGCP6";" 6.59";" 7.00";"-0.4096";"0.086872";"0.03965";"0.09549";"0.0403";"0.0626";"0.865";"0.0318"
"682";"ILMN_1674941";"ANO6";" 8.44";" 7.65";" 0.7947";"0.050133";"0.09084";"0.10376";"0.0234";"0.1081";"0.865";"0.0032"
"683";"ILMN_1666049";"NUP214";" 9.12";" 9.52";"-0.3989";"0.027928";"0.05771";"0.06411";"0.0771";"0.0393";"0.865";"0.0183"
